student_id,avg_attendance,avg_assignments,avg_quizzes,avg_labs,avg_midterm,avg_final,avg_overall,semester,credits_registered,credits_passed,failed_courses,attendance_risk_score,course_difficulty_index,failed_course_ratio,performance_trend,credit_completion_ratio,academic_consistency,study_efficiency,semester_momentum,programme_encoded,school_encoded,target_gpa,target_risk
STU00001,82.5,56.2,53.1,51.7,59.6,55.3,55.9,2,30,6,8,0.0,0.8,0.8,-4.300000000000004,0.2,0.898582271985833,1.3374846625766872,0.0,0.8,3,0.2,2
STU00002,73.8,86.0,73.1,84.5,91.0,92.0,87.8,4,48,48,0,0.0020238577025077703,0.4,0.0,1.0,1.0,0.7486989410642639,1.8311229946524061,-2.5333333333333456,0.4,1,3.306,0
STU00003,83.1,87.0,65.5,90.5,92.8,86.0,86.8,2,21,21,0,0.0,0.71,0.0,-6.799999999999997,1.0,0.6370292328881322,1.7096969696969697,0.0,0.71,3,3.157,0
STU00004,98.3,94.5,94.9,92.1,92.6,95.3,93.9,2,24,24,0,0.0,0.75,0.0,2.700000000000003,1.0,0.9521344475524295,2.0689830508474576,0.0,0.75,2,3.875,0
STU00005,93.7,80.2,78.5,85.9,89.9,90.2,86.8,4,60,60,0,0.0,0.55,0.0,0.29999999999999716,1.0,0.8196207698578722,1.8006382978723405,1.0600000000000023,0.55,1,3.17,0
STU00006,60.4,49.8,44.0,56.7,70.7,67.2,61.7,2,27,21,2,0.08588896880835725,0.22,0.2222222222222222,-3.5,0.7777777777777778,0.6234852813855303,1.5425,0.0,0.22,0,0.811,2
STU00007,81.6,74.4,63.5,83.8,83.4,72.3,76.8,3,33,33,0,0.0,0.82,0.0,-11.100000000000009,1.0,0.7177727472014401,1.654806629834254,0.3299999999999841,0.82,3,2.218,1
STU00008,70.7,58.9,55.8,73.5,76.8,69.9,69.4,2,30,30,0,0.01372811119699417,0.8,0.0,-6.8999999999999915,1.0,0.6937013077257937,1.4871428571428573,0.0,0.8,3,1.43,2
STU00009,91.9,69.4,69.0,75.9,75.6,77.0,74.5,8,117,117,0,0.0,0.55,0.0,1.4000000000000057,1.0,0.871539024516306,2.7410377358490567,-3.7942857142857207,0.55,1,1.938,2
STU00010,63.2,64.3,44.6,59.8,58.0,53.8,56.6,4,48,12,12,0.06240668530189989,0.4,0.75,-4.200000000000003,0.25,0.751627519864038,1.4914864864864867,-2.153333333333329,0.4,1,0.25,2
STU00011,60.3,67.3,45.1,72.4,71.3,75.0,69.4,3,45,45,0,0.08677289899502036,0.62,0.0,3.700000000000003,1.0,0.59574897787527,1.6707407407407406,-2.7099999999999937,0.62,1,1.44,2
STU00012,96.6,86.9,96.1,90.5,95.8,93.7,93.1,3,33,33,0,0.0,0.18,0.0,-2.0999999999999943,1.0,0.8702566636264764,1.9949999999999999,3.970000000000013,0.18,0,3.782,0
STU00013,81.6,63.7,77.9,78.3,90.4,86.8,82.2,2,30,30,0,0.0,0.8,0.0,-3.6000000000000085,1.0,0.6561217915857095,1.8424137931034485,0.0,0.8,2,2.74,0
STU00014,91.2,79.5,70.7,73.9,73.9,77.4,75.5,2,21,21,0,0.0,0.71,0.0,3.5,1.0,0.8858753118539007,1.3695348837209302,0.0,0.71,3,2.057,1
STU00015,72.6,98.5,63.4,96.6,93.9,95.1,92.3,1,15,15,0,0.005724334022399483,0.4,0.0,1.1999999999999886,1.0,0.5102892009903532,1.5927876106194692,0.0,0.4,1,3.74,0
STU00016,78.1,68.1,37.1,57.8,50.4,55.0,54.2,1,15,0,5,0.0,0.62,1.0,4.600000000000001,0.0,0.6227629687082965,0.923056768558952,0.0,0.62,1,0.0,2
