student_id,programme,school,semester,credits_registered,credits_passed,failed_courses,failed_ratio,cumulative_gpa,gpa_band,risk_level,avg_attendance,avg_assignments,avg_quizzes,avg_labs,avg_midterm,avg_final,avg_overall,study_hours,base_exam,anxiety,attendance_base
STU00001,PHYS,SCI,2,30,6,8,0.8,0.2,At Risk (<2.0),High Risk,82.5,56.2,53.1,51.7,59.6,55.3,55.9,17.4,66.2,0.227,80.0
STU00002,SWE,CS&AI,4,48,48,0,0.0,3.306,Good (3.0-3.5),Low Risk,73.8,86.0,73.1,84.5,91.0,92.0,87.8,19.8,99.7,0.32,75.2
STU00003,CHEM,SCI,2,21,21,0,0.0,3.157,Good (3.0-3.5),Low Risk,83.1,87.0,65.5,90.5,92.8,86.0,86.8,20.9,93.1,0.163,85.5
STU00004,CIV,ENGR,2,24,24,0,0.0,3.875,High (>=3.5),Low Risk,98.3,94.5,94.9,92.1,92.6,95.3,93.9,18.8,100.0,0.295,100.0
STU00005,CSAI,CS&AI,4,60,60,0,0.0,3.17,Good (3.0-3.5),Low Risk,93.7,80.2,78.5,85.9,89.9,90.2,86.8,19.9,95.4,0.199,93.3
STU00006,FIN,BUS,2,27,21,2,0.2222,0.811,At Risk (<2.0),High Risk,60.4,49.8,44.0,56.7,70.7,67.2,61.7,16.7,77.4,0.566,64.2
STU00007,MATH,SCI,3,33,33,0,0.0,2.218,Below Average (2.0-2.5),Medium Risk,81.6,74.4,63.5,83.8,83.4,72.3,76.8,19.2,84.3,0.312,83.3
STU00008,PHYS,SCI,2,30,30,0,0.0,1.43,At Risk (<2.0),High Risk,70.7,58.9,55.8,73.5,76.8,69.9,69.4,19.3,80.4,0.205,75.7
STU00009,CSAI,CS&AI,8,117,117,0,0.0,1.938,At Risk (<2.0),High Risk,91.9,69.4,69.0,75.9,75.6,77.0,74.5,11.7,84.0,0.347,93.0
STU00010,SWE,CS&AI,4,48,12,12,0.75,0.25,At Risk (<2.0),High Risk,63.2,64.3,44.6,59.8,58.0,53.8,56.6,15.9,64.8,0.468,60.2
STU00011,DSAI,CS&AI,3,45,45,0,0.0,1.44,At Risk (<2.0),High Risk,60.3,67.3,45.1,72.4,71.3,75.0,69.4,17.3,78.2,0.524,62.4
STU00012,BUS,BUS,3,33,33,0,0.0,3.782,High (>=3.5),Low Risk,96.6,86.9,96.1,90.5,95.8,93.7,93.1,19.3,98.3,0.365,100.0
STU00013,EEE,ENGR,2,30,30,0,0.0,2.74,Average (2.5-3.0),Low Risk,81.6,63.7,77.9,78.3,90.4,86.8,82.2,18.5,89.3,0.215,82.7
STU00014,CHEM,SCI,2,21,21,0,0.0,2.057,Below Average (2.0-2.5),Medium Risk,91.2,79.5,70.7,73.9,73.9,77.4,75.5,22.6,82.5,0.298,89.4
STU00015,SWE,CS&AI,1,15,15,0,0.0,3.74,High (>=3.5),Low Risk,72.6,98.5,63.4,96.6,93.9,95.1,92.3,23.7,100.0,0.44,81.3
STU00016,DSAI,CS&AI,1,15,0,5,1.0,0.0,At Risk (<2.0),High Risk,78.1,68.1,37.1,57.8,50.4,55.0,54.2,24.0,55.2,0.283,87.1
STU00017,MECH,ENGR,3,33,33,0,0.0,1.6,At Risk (<2.0),High Risk,91.1,61.0,66.0,69.5,73.7,72.4,70.0,24.2,79.7,0.438,89.6
